T-grid
lon,lat
-0.46000,60.80000
-0.38000,60.80000
-0.30000,60.80000
-0.22000,60.80000
-0.14000,60.80000
-0.06000,60.80000
0.02000,60.80000
0.10000,60.80000
0.18000,60.80000
0.26000,60.80000
0.34000,60.80000
0.42000,60.80000
0.50000,60.80000
0.58000,60.80000
0.66000,60.80000
0.74000,60.80000
0.82000,60.80000
0.90000,60.80000
0.98000,60.80000
1.06000,60.80000
1.14000,60.80000
1.22000,60.80000
1.30000,60.80000
1.38000,60.80000
1.46000,60.80000
1.54000,60.80000
1.62000,60.80000
1.70000,60.80000
1.78000,60.80000
1.86000,60.80000
1.94000,60.80000
2.02000,60.80000
2.10000,60.80000
2.18000,60.80000
2.26000,60.80000
2.34000,60.80000
2.42000,60.80000
2.50000,60.80000
2.58000,60.80000
2.66000,60.80000
2.74000,60.80000
2.82000,60.80000
2.90000,60.80000
2.98000,60.80000
3.06000,60.80000
3.14000,60.80000
3.22000,60.80000
3.30000,60.80000
3.38000,60.80000
3.46000,60.80000
3.54000,60.80000
3.62000,60.80000
3.70000,60.80000
3.78000,60.80000
3.86000,60.80000
3.94000,60.80000
4.02000,60.80000
4.10000,60.80000
4.18000,60.80000
4.26000,60.80000
4.34000,60.80000
4.42000,60.80000
4.50000,60.80000
4.58000,60.80000
4.66000,60.80000
4.74000,60.80000
12.98000,54.50000
12.98000,54.55000
12.98000,54.60000
12.98000,54.65000
12.98000,54.70000
12.98000,54.75000
12.98000,54.80000
12.98000,54.85000
12.98000,54.90000
12.98000,54.95000
12.98000,55.00000
12.98000,55.05000
12.98000,55.10000
12.98000,55.15000
12.98000,55.20000
12.98000,55.25000
-7.42000,48.50000
-7.34000,48.50000
-7.26000,48.50000
-7.18000,48.50000
-7.10000,48.50000
-7.02000,48.50000
-6.94000,48.50000
-6.86000,48.50000
-6.78000,48.50000
-6.70000,48.50000
-6.62000,48.50000
-6.54000,48.50000
-6.46000,48.50000
-6.38000,48.50000
-6.30000,48.50000
-6.22000,48.50000
-6.14000,48.50000
-6.06000,48.50000
-5.98000,48.50000
-5.90000,48.50000
-5.82000,48.50000
-5.74000,48.50000
-5.66000,48.50000
-5.58000,48.50000
-5.50000,48.50000
-5.42000,48.50000
-5.34000,48.50000
